idx,sub_1_smiles,sub_2_smiles,product_smiles
190,Cc1ccc([N+](=O)[O-])cc1N,O=C(O)c1ncccn1,Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ncccn1
191,CNOC,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,CON(C)C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1
192,Cc1ccc(N)c(C)c1,Cc1ccc2cc(C(=O)O)ccc2n1,Cc1ccc(NC(=O)c2ccc3nc(C)ccc3c2)c(C)c1
193,NCc1ccc(Cl)cc1,O=C(O)c1ccc2c(c1)OCCO2,O=C(NCc1ccc(Cl)cc1)c1ccc2c(c1)OCCO2
194,Cc1ccc2cccc(N)c2n1,O=C(O)COc1ccccc1,Cc1ccc2cccc(NC(=O)COc3ccccc3)c2n1
195,CC(=O)c1ccc(N)cc1,Cc1cc(C(=O)O)cc(Cl)n1,CC(=O)c1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1
196,C#Cc1cccc(N)c1,O=C(O)Cc1ccc2c(c1)OCO2,C#Cc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1
197,COc1ccc(N)cc1,Cc1cccc(C)c1C(=O)O,COc1ccc(NC(=O)c2c(C)cccc2C)cc1
198,C1COCCN1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCOCC2)cc1
199,C[C@H](N)c1cccc2ccccc12,O=C(O)c1cc2ccccc2s1,CC(NC(=O)c1cc2ccccc2s1)c1cccc2ccccc12
200,CNc1ccc(F)cc1,O=C(O)c1ccc(Br)s1,CN(C(=O)c1ccc(Br)s1)c1ccc(F)cc1
201,COC(=O)c1cc(S(N)(=O)=O)ccc1OC,O=C(O)c1ccnc(C(F)(F)F)c1,COC(=O)c1cc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)ccc1OC
202,Cc1ccc2cccc(N)c2n1,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)Nc2cccc3ccc(C)nc23)cc(Cl)n1
203,CNc1ccc(F)cc1,O=C(O)c1ccc(C(F)(F)F)cn1,CN(C(=O)c1ccc(C(F)(F)F)cn1)c1ccc(F)cc1
204,NCc1ccc(F)cc1F,CC(C)(C(=O)O)c1ccccc1,CC(C)(C(=O)NCc1ccc(F)cc1F)c1ccccc1
205,Cc1ccc(S(N)(=O)=O)cc1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1
206,Cn1c(N)nc2ccccc21,Cc1cc(C(=O)O)cc(Cl)n1,Cc1cc(C(=O)Nc2nc3ccccc3n2C)cc(Cl)n1
207,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ccc2nccnc2c1,CC(NC(=O)c1ccc2nccnc2c1)c1cccc2ccccc12
208,CCNc1cccc(C)c1,O=C(O)COc1ccccc1,CCN(C(=O)COc1ccccc1)c1cccc(C)c1
209,NCc1ccccc1C(F)(F)F,O=C(O)c1ccc2nccnc2c1,O=C(NCc1ccccc1C(F)(F)F)c1ccc2nccnc2c1
210,COc1ccc(N)cc1,CC(C)(C(=O)O)c1ccccc1,COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1
211,C#Cc1cccc(N)c1,O=C(O)c1ccc(C(F)(F)F)cn1,C#Cc1cccc(NC(=O)c2ccc(C(F)(F)F)cn2)c1
212,COC(=O)c1ccc(N)cc1,O=C(O)c1ccc(Br)s1,COC(=O)c1ccc(NC(=O)c2ccc(Br)s2)cc1
213,C[C@@H](N)c1ccccc1,O=C(O)c1ccc2nccnc2c1,C[C@@H](NC(=O)c1ccc2nccnc2c1)c1ccccc1
214,Cc1ccc2cccc(N)c2n1,O=C(O)c1ccc2nccnc2c1,Cc1ccc2cccc(NC(=O)c3ccc4nccnc4c3)c2n1
215,Cc1ccc(N)nc1,O=C(O)Cc1ccc2c(c1)OCO2,Cc1ccc(NC(=O)Cc2ccc3c(c2)OCO3)nc1
216,C#Cc1cccc(N)c1,Cc1c(C(=O)O)oc2ccccc12,C#Cc1cccc(NC(=O)c2oc3ccccc3c2C)c1
